Feature,Importance,Rank,Importance_Pct,Cumulative_Pct
Tuition_Payment_Consistency,0.258954472688163,1,25.9,25.9
Socioeconomic_Status,0.09741465692807133,2,9.74,35.64
Carryover_Courses,0.08962938135306342,3,8.96,44.6
Cumulative_GPA,0.07058061478912986,4,7.06,51.66
Semester_3_GPA,0.05447646518706862,5,5.45,57.11
Semester_1_GPA,0.044200009535212983,6,4.42,61.53
Semester_7_GPA,0.042132752871678614,7,4.21,65.74
Semester_4_GPA,0.036933775771632184,8,3.69,69.43
Attendance_Rate_Pct,0.03574555359695683,9,3.57,73.0
Semester_2_GPA,0.03327478392469276,10,3.33,76.33
Semester_6_GPA,0.032271568963744765,11,3.23,79.56
Semester_5_GPA,0.03017906850835962,12,3.02,82.58
Semester_8_GPA,0.027742587374389584,13,2.77,85.35
Assignment_Submission_Rate_Pct,0.023139184551770425,14,2.31,87.66
Avg_Credit_Units_Per_Sem,0.016186048583090775,15,1.62,89.28
Total_Credit_Units_Earned,0.015749902106839974,16,1.57,90.85
Portal_Login_Count,0.015364538467117014,17,1.54,92.39
Age_at_Entry,0.01522226455576288,18,1.52,93.91
JAMB_Score,0.013927004469980832,19,1.39,95.3
Entry_Year,0.012075440873665869,20,1.21,96.51
O_Level_Credits,0.011446768184308672,21,1.14,97.65
Gender,0.006506153455129559,22,0.65,98.3
Study_Mode,0.006454410940835053,23,0.65,98.95
Entry_Mode,0.004833170653191715,24,0.48,99.43
Marital_Status,0.0033931797520410645,25,0.34,99.77
Entry_Level,0.0021662419141026566,26,0.22,99.99
